Week,Italian_Restaurant_in_PA
2018-11-25,40
2018-12-02,52
2018-12-09,61
2018-12-16,61
2018-12-23,71
2018-12-30,57
2019-01-06,44
2019-01-13,45
2019-01-20,60
2019-01-27,50
2019-02-03,43
2019-02-10,76
2019-02-17,61
2019-02-24,55
2019-03-03,52
2019-03-10,52
2019-03-17,48
2019-03-24,68
2019-03-31,50
2019-04-07,51
2019-04-14,59
2019-04-21,55
2019-04-28,53
2019-05-05,72
2019-05-12,68
2019-05-19,53
2019-05-26,42
2019-06-02,48
2019-06-09,59
2019-06-16,49
2019-06-23,57
2019-06-30,74
2019-07-07,59
2019-07-14,71
2019-07-21,63
2019-07-28,66
2019-08-04,78
2019-08-11,61
2019-08-18,73
2019-08-25,75
2019-09-01,53
2019-09-08,66
2019-09-15,63
2019-09-22,53
2019-09-29,54
2019-10-06,65
2019-10-13,61
2019-10-20,60
2019-10-27,70
2019-11-03,59
2019-11-10,63
2019-11-17,53
2019-11-24,56
2019-12-01,51
2019-12-08,61
2019-12-15,63
2019-12-22,84
2019-12-29,74
2020-01-05,66
2020-01-12,66
2020-01-19,68
2020-01-26,60
2020-02-02,63
2020-02-09,78
2020-02-16,56
2020-02-23,55
2020-03-01,65
2020-03-08,39
2020-03-15,18
2020-03-22,20
2020-03-29,16
2020-04-05,14
2020-04-12,29
2020-04-19,24
2020-04-26,18
2020-05-03,31
2020-05-10,31
2020-05-17,20
2020-05-24,23
2020-05-31,27
2020-06-07,25
2020-06-14,34
2020-06-21,43
2020-06-28,48
2020-07-05,37
2020-07-12,40
2020-07-19,44
2020-07-26,47
2020-08-02,47
2020-08-09,42
2020-08-16,52
2020-08-23,55
2020-08-30,52
2020-09-06,57
2020-09-13,50
2020-09-20,61
2020-09-27,62
2020-10-04,63
2020-10-11,61
2020-10-18,45
2020-10-25,48
2020-11-01,43
2020-11-08,47
2020-11-15,50
2020-11-22,37
2020-11-29,52
2020-12-06,39
2020-12-13,47
2020-12-20,52
2020-12-27,51
2021-01-03,47
2021-01-10,57
2021-01-17,55
2021-01-24,53
2021-01-31,50
2021-02-07,76
2021-02-14,63
2021-02-21,58
2021-02-28,52
2021-03-07,60
2021-03-14,58
2021-03-21,66
2021-03-28,65
2021-04-04,61
2021-04-11,62
2021-04-18,61
2021-04-25,70
2021-05-02,88
2021-05-09,99
2021-05-16,62
2021-05-23,73
2021-05-30,72
2021-06-06,79
2021-06-13,80
2021-06-20,82
2021-06-27,76
2021-07-04,100
2021-07-11,90
2021-07-18,87
2021-07-25,93
2021-08-01,90
2021-08-08,89
2021-08-15,92
2021-08-22,95
2021-08-29,62
2021-09-05,85
2021-09-12,82
2021-09-19,86
2021-09-26,81
2021-10-03,93
2021-10-10,76
2021-10-17,81
2021-10-24,70
2021-10-31,80
2021-11-07,93
2021-11-14,86
2021-11-21,61
2021-11-28,75
2021-12-05,86
2021-12-12,75
2021-12-19,73
2021-12-26,87
2022-01-02,61
2022-01-09,62
2022-01-16,64
2022-01-23,62
2022-01-30,63
2022-02-06,86
2022-02-13,95
2022-02-20,77
2022-02-27,71
2022-03-06,70
2022-03-13,75
2022-03-20,71
2022-03-27,80
2022-04-03,71
2022-04-10,71
2022-04-17,73
2022-04-24,77
2022-05-01,74
2022-05-08,68
2022-05-15,61
2022-05-22,55
2022-05-29,65
2022-06-05,79
2022-06-12,90
2022-06-19,71
2022-06-26,70
2022-07-03,76
2022-07-10,70
2022-07-17,87
2022-07-24,92
2022-07-31,80
2022-08-07,77
2022-08-14,88
2022-08-21,77
2022-08-28,82
2022-09-04,80
2022-09-11,80
2022-09-18,79
2022-09-25,83
2022-10-02,79
2022-10-09,72
2022-10-16,70
2022-10-23,65
2022-10-30,62
2022-11-06,73
2022-11-13,71
2022-11-20,57
2022-11-27,64
2022-12-04,79
2022-12-11,90
2022-12-18,60
2022-12-25,76
2023-01-01,75
2023-01-08,75
2023-01-15,67
2023-01-22,70
2023-01-29,73
2023-02-05,94
2023-02-12,78
2023-02-19,77
2023-02-26,62
2023-03-05,80
2023-03-12,66
2023-03-19,71
2023-03-26,61
2023-04-02,62
2023-04-09,75
2023-04-16,72
2023-04-23,70
2023-04-30,77
2023-05-07,80
2023-05-14,67
2023-05-21,70
2023-05-28,73
2023-06-04,72
2023-06-11,66
2023-06-18,69
2023-06-25,79
2023-07-02,83
2023-07-09,64
2023-07-16,77
2023-07-23,76
2023-07-30,75
2023-08-06,73
2023-08-13,69
2023-08-20,67
2023-08-27,61
2023-09-03,69
2023-09-10,66
2023-09-17,67
2023-09-24,67
2023-10-01,66
2023-10-08,60
2023-10-15,58
2023-10-22,68
2023-10-29,75
2023-11-05,63
2023-11-12,60
